variable,ADF Statistic,p-value,Lags Used,Observations Used,Stationary
IHSG,-1.5296150039657896,0.5188136867450107,3,2439,No
BI_Rate,-1.8905198718899672,0.3365339205087756,22,2420,No
CPI,-0.7383987117995194,0.8365511741024354,21,2421,No
M2,0.6270729311632782,0.9882642648431685,21,2421,No
NPL_Ratio,-1.0838271937935742,0.7214781542033641,19,2423,No
GDP,0.1503593262683188,0.9693358633193314,0,2442,No
USDIDR,-1.9611878847583348,0.3038457265248445,4,2438,No
WTI,-1.9526314010045815,0.3077206927722501,12,2430,No
US_Treasury_10Y,-0.5223329688624724,0.8875841951499853,1,2441,No
Coal,-1.6418147936307754,0.46131266839743107,18,2424,No
Copper,-1.1959778910278127,0.6753235239906192,1,2441,No
Nickel,-1.8228772184029198,0.3691643871320785,25,2417,No
Silver,-1.1259708202284398,0.7046047186465472,10,2432,No
Tin,-1.4043904195746106,0.5801694956259488,1,2441,No
Gold,1.0763143446582397,0.9950093184550397,0,2442,No
STI,-2.1001216493313493,0.24446568850742145,4,2438,No
