Target,Scenario,Covariates,Window,Horizon,Num_Vars,MAPE,MAPE_std,MAE,RMSE,RMSE_std,R2,R2_std,DA,DA_std
IHSG,W30_H1,None,30,1,0,0.6661,0.1916,40.6375,55.676,11.1595,0.9688,0.0302,51.45,2.28
IHSG,W30_H1,Macro,30,1,7,0.6597,0.1806,40.3643,55.2302,10.2465,0.9685,0.0315,52.42,2.46
IHSG,W30_H1,Commodity,30,1,7,0.6596,0.1839,40.3432,55.0107,10.5506,0.9694,0.0297,52.93,3.57
IHSG,W30_H1,Regional,30,1,1,0.6626,0.1865,40.4769,55.4908,10.8857,0.9689,0.0302,53.44,2.55
IHSG,W30_H1,Macro_Regional,30,1,8,0.6601,0.1819,40.3744,55.293,10.4633,0.9686,0.0312,51.65,2.3
IHSG,W30_H1,Commodity_Regional,30,1,8,0.6596,0.1836,40.3399,55.1363,10.6192,0.9692,0.0299,53.18,2.31
IHSG,W30_H1,Full,30,1,15,0.6585,0.1822,40.2824,55.0914,10.4745,0.969,0.0303,51.86,1.97
IHSG,W60_H1,None,60,1,0,0.6642,0.1893,40.5525,55.4768,10.969,0.969,0.0301,51.96,2.24
IHSG,W60_H1,Macro,60,1,7,0.6603,0.1819,40.3796,55.1729,10.3231,0.9687,0.0311,52.21,2.0
IHSG,W60_H1,Commodity,60,1,7,0.6605,0.1837,40.3982,55.1748,10.5766,0.9692,0.0299,51.5,1.5
IHSG,W60_H1,Regional,60,1,1,0.6635,0.187,40.5315,55.4829,10.8603,0.9689,0.0301,50.08,2.68
IHSG,W60_H1,Macro_Regional,60,1,8,0.6611,0.1832,40.4118,55.2664,10.449,0.9687,0.0309,51.86,1.28
IHSG,W60_H1,Commodity_Regional,60,1,8,0.6602,0.1832,40.3708,55.1971,10.6104,0.9692,0.0299,51.4,2.23
IHSG,W60_H1,Full,60,1,15,0.6597,0.1834,40.3401,55.0974,10.4838,0.969,0.0304,50.33,2.48
IHSG,W120_H1,None,120,1,0,0.6627,0.1873,40.4823,55.3525,10.7917,0.969,0.0302,51.76,2.64
IHSG,W120_H1,Macro,120,1,7,0.6596,0.1816,40.3393,55.1808,10.317,0.9686,0.0312,51.04,2.07
IHSG,W120_H1,Commodity,120,1,7,0.6602,0.184,40.3862,55.1887,10.4495,0.969,0.0304,50.59,4.24
IHSG,W120_H1,Regional,120,1,1,0.6623,0.1865,40.4666,55.4284,10.8227,0.9689,0.0302,52.32,1.2
IHSG,W120_H1,Macro_Regional,120,1,8,0.6585,0.182,40.2739,55.1214,10.4237,0.9689,0.0307,51.81,1.04
IHSG,W120_H1,Commodity_Regional,120,1,8,0.6594,0.1843,40.3278,55.1486,10.5405,0.9691,0.0302,51.45,3.87
IHSG,W120_H1,Full,120,1,15,0.6583,0.1816,40.2721,55.0673,10.4009,0.969,0.0305,51.76,1.7
